0,1,2,3,4,5
1,2,3363,0,3,0
1,1,1101,0,2,0
2,2,125261,0,74,0
2,3,2297,0,3,0
1,4,3607,0,3,0
2,5,1081,0,2,0
2,6,3371,0,6,0
2,7,361,0,2,0
2,8,4184,0,6,0
2,9,3865,0,5,0
3,11,1667,0,2,0
3,12,17446,0,8,0
5,13,2097,0,3,0
5,14,3124,0,5,0
5,15,12561,0,11,0
5,16,11119,0,13,0
5,7,1442,0,3,0
5,6,4452,0,7,0
5,17,1558,0,3,0
5,18,16997,0,19,0
6,19,1339,0,3,0
6,20,132633,0,133,0
7,21,1956,0,3,0
7,14,1759,0,3,0
8,14,2064,0,3,0
8,22,3293,0,4,0
8,23,50730,0,50,0
8,24,64540,0,53,0
8,25,82004,0,65,0
9,26,1442,0,2,0
9,13,687,0,2,0
9,27,2713,0,3,0
9,28,129308,0,74,0
9,29,1667,0,4,0
9,30,4150,0,4,0
9,31,16348,0,21,0
9,32,18042,0,20,0
9,33,12326,0,16,0
34,35,2488,0,3,0
34,36,6446,0,6,0
34,37,2488,0,3,0
35,38,4222,0,4,0
36,39,2049,0,3,0
37,40,7251,0,6,0
38,41,1135,0,2,0
41,42,2496,0,4,0
41,43,49050,0,44,0
42,44,6942,0,10,0
42,45,4840,0,7,0
43,46,1989,0,2,0
44,47,2666,0,4,0
44,48,3991,0,7,0
44,49,10039,0,13,0
44,50,6991,0,9,0
45,51,52147,0,61,0
47,52,1984,0,3,0
47,53,5479,0,8,0
47,54,2360,0,4,0
48,50,3000,0,3,0
49,53,1894,0,3,0
50,55,3381,0,5,0
50,56,3381,0,5,0
50,57,6788,0,9,0
52,58,2402,0,6,0
53,59,2566,0,4,0
54,59,5685,0,8,0
58,60,4135,0,8,0
58,61,2217,0,3,0
58,62,3625,0,7,0
60,63,2052,0,5,0
61,64,47749,0,58,0
61,65,910,0,2,0
61,66,43168,0,54,0
62,67,2298,0,6,0
63,68,2156,0,4,0
68,69,1820,0,2,0
69,70,1655,0,3,0
69,71,2779,0,4,0
69,72,2779,0,4,0
70,73,3082,0,3,0
70,74,3195,0,4,0
70,75,5270,0,6,0
71,76,2747,0,4,0
72,77,4494,0,7,0
72,78,6005,0,7,0
72,74,2004,0,3,0
73,79,993,0,2,0
75,80,2075,0,3,0
75,81,10019,0,13,0
75,82,33814,0,31,0
79,83,1081,0,2,0
83,84,1986,0,2,0
84,85,1992,0,3,0
86,87,2074,0,3,0
87,88,2648,0,4,0
88,89,2816,0,2,0
89,90,0,0,1,0
90,91,4480,0,8,0
91,92,2483,0,3,0
92,93,2449,0,4,0
93,94,2943,0,3,0
94,95,2835,0,4,0
94,96,2316,0,3,0
94,97,9161,0,11,0
94,98,9232,0,12,0
95,99,2797,0,3,0
95,100,2797,0,3,0
95,101,0,0,1,0
96,102,1158,0,2,0
96,103,2563,0,5,0
96,104,63991,0,69,0
96,105,65987,0,67,0
96,106,4124,0,6,0
96,107,7514,0,14,0
97,108,2894,0,4,0
98,109,1241,0,2,0
98,110,4157,0,6,0
98,111,6073,0,7,0
98,112,121122,0,112,0
98,113,1556,0,2,0
98,114,3449,0,5,0
98,115,22860,0,30,0
99,109,2765,0,4,0
99,116,22269,0,26,0
99,112,117287,0,108,0
100,111,2238,0,3,0
100,117,2361,0,4,0
100,118,4761,0,6,0
100,119,1355,0,2,0
100,114,1895,0,3,0
100,120,2361,0,4,0
100,121,19609,0,24,0
101,122,2642,0,5,0
109,123,5218,0,9,0
109,124,745,0,2,0
109,111,4855,0,6,0
109,125,3001,0,3,0
109,126,9809,0,11,0
116,127,3823,0,4,0
116,51,2582,0,4,0
116,128,638,0,2,0
116,129,4598,0,7,0
116,130,2582,0,4,0
116,131,12486,0,15,0
112,132,2000,0,2,0
112,133,6004,0,5,0
123,125,2394,0,4,0
124,126,9064,0,10,0
124,134,9072,0,11,0
111,110,2318,0,3,0
111,122,5077,0,6,0
111,135,2318,0,3,0
111,117,2686,0,5,0
111,118,5086,0,7,0
111,137,2482,0,4,0
125,138,7776,0,10,0
125,113,2657,0,3,0
126,139,4998,0,6,0
126,140,3677,0,4,0
126,141,1391,0,3,0
126,142,12687,0,17,0
126,26,4125,0,6,0
110,122,2759,0,4,0
110,143,8400,0,12,0
110,135,0,0,1,0
114,144,6999,0,9,0
114,145,3449,0,5,0
114,146,123548,0,104,0
115,147,3304,0,6,0
122,102,1318,0,3,0
143,148,2440,0,4,0
102,149,2671,0,4,0
149,150,2564,0,4,0
150,151,19503,0,20,0
151,152,1456,0,3,0
151,140,3779,0,5,0
151,153,3674,0,5,0
151,141,8796,0,9,0
151,119,9084,0,11,0
152,139,3801,0,5,0
152,153,5130,0,7,0
140,139,1393,0,3,0
153,154,25671,0,35,0
153,155,2455,0,3,0
141,156,2018,0,3,0
141,26,2734,0,4,0
141,157,1288,0,2,0
141,158,9952,0,8,0
141,159,18602,0,22,0
119,19,23696,0,28,0
119,117,3716,0,5,0
119,160,25689,0,32,0
142,161,28810,0,28,0
142,162,1445,0,2,0
142,163,4347,0,9,0
142,158,1445,0,2,0
142,154,3135,0,3,0
142,164,2735,0,6,0
142,155,24912,0,35,0
142,165,4324,0,8,0
26,166,8335,0,7,0
26,167,11225,0,9,0
26,15,8335,0,7,0
26,168,20475,0,27,0
26,169,5518,0,5,0
26,13,2129,0,3,0
26,170,16914,0,21,0
26,29,3109,0,5,0
26,30,2708,0,3,0
134,156,1986,0,3,0
134,145,11058,0,13,0
156,157,732,0,2,0
156,171,1973,0,3,0
156,172,4756,0,6,0
145,13,17289,0,19,0
145,159,6283,0,11,0
145,173,2716,0,3,0
157,30,4182,0,4,0
157,171,2679,0,4,0
171,174,2746,0,3,0
171,175,4329,0,6,0
171,176,1324,0,3,0
171,172,2783,0,4,0
172,169,1382,0,2,0
172,177,2800,0,4,0
172,175,1546,0,3,0
172,163,5557,0,6,0
158,166,1445,0,2,0
158,178,2890,0,3,0
158,167,1445,0,2,0
159,180,2035,0,4,0
159,181,21796,0,27,0
166,182,0,0,1,0
166,162,1445,0,2,0
166,169,5713,0,5,0
166,183,4173,0,4,0
166,15,0,0,1,0
167,184,2892,0,3,0
167,15,2890,0,3,0
15,185,1442,0,2,0
15,186,2741,0,3,0
15,187,14610,0,21,0
168,188,4142,0,10,0
169,183,1540,0,2,0
169,189,7013,0,9,0
13,30,4837,0,5,0
13,17,3613,0,5,0
170,190,895,0,2,0
170,191,876,0,2,0
170,31,876,0,2,0
29,22,1809,0,4,0
29,192,744,0,2,0
30,186,2886,0,3,0
30,27,1437,0,2,0
27,22,6189,0,9,0
28,194,3824,0,4,0
28,195,1769,0,2,0
28,196,2558,0,3,0
28,197,11731,0,6,0
28,198,5828,0,6,0
31,24,49130,0,33,0
31,191,0,0,1,0
31,199,1894,0,3,0
32,200,8798,0,8,0
32,201,3759,0,4,0
32,202,2932,0,3,0
32,203,16230,0,15,0
32,18,1739,0,3,0
33,204,2539,0,4,0
33,205,829,0,2,0
17,192,3518,0,4,0
17,206,6923,0,10,0
16,207,2819,0,4,0
16,208,1546,0,3,0
16,185,5619,0,6,0
16,209,1262,0,2,0
16,210,5302,0,7,0
18,211,10879,0,8,0
18,212,4725,0,5,0
18,213,135979,0,130,0
