0,1,2,3
1.0,40.766544,-73.982239,3.0
2.0,40.768085,-73.985893,3.0
3.0,40.765762,-73.980385,3.0
4.0,40.769363,-73.98893,3.0
5.0,40.766712,-73.982643,3.0
6.0,40.764595,-73.977615,3.0
7.0,40.770565,-73.991066,2.0
8.0,40.770592,-73.991783,3.0
9.0,40.770233,-73.99102,3.0
10.0,40.772884,-73.989334,2.0
11.0,40.774147,-73.988518,2.0
12.0,40.776333,-73.986855,2.0
13.0,40.777706,-73.985855,2.0
14.0,40.778725,-73.985138,2.0
15.0,40.779552,-73.984116,2.0
16.0,40.778767,-73.982254,2.0
17.0,40.785725,-73.948792,2.0
18.0,40.778439,-73.954117,2.0
19.0,40.787868,-73.947166,2.0
20.0,40.774586,-73.956924,2.0
21.0,40.789253,-73.946213,2.0
22.0,40.770054,-73.960228,2.0
23.0,40.767117,-73.962448,2.0
24.0,40.76255,-73.965706,2.0
25.0,40.755482,-73.970856,2.0
26.0,40.751068,-73.974083,4.0
27.0,40.745167,-73.978394,2.0
28.0,40.739204,-73.982719,2.0
29.0,40.733677,-73.986748,2.0
30.0,40.730362,-73.989166,2.0
31.0,40.729568,-73.990051,2.0
32.0,40.766949,-73.954117,2.0
33.0,40.768047,-73.956375,2.0
34.0,40.769047,-73.958717,2.0
35.0,40.769997,-73.960983,2.0
36.0,40.77066,-73.962547,2.0
37.0,40.77179,-73.965248,2.0
38.0,40.771767,-73.967552,2.0
39.0,40.770599,-73.968475,2.0
40.0,40.77026,-73.968742,2.0
41.0,40.774357,-73.965775,2.0
42.0,40.769032,-73.96965,2.0
43.0,40.768234,-73.970238,2.0
44.0,40.775612,-73.964836,2.0
45.0,40.77264,-73.978424,2.0
46.0,40.774509,-73.977066,2.0
47.0,40.77647,-73.976318,2.0
48.0,40.777657,-73.979141,2.0
49.0,40.77861,-73.9814,2.0
50.0,40.779034,-73.982414,2.0
51.0,40.779533,-73.98481,2.0
52.0,40.778706,-73.985786,2.0
53.0,40.77747,-73.986336,2.0
54.0,40.77906,-73.98838,2.0
55.0,40.77618,-73.987274,2.0
56.0,40.776489,-73.988724,2.0
57.0,40.774494,-73.988503,2.0
58.0,40.772991,-73.989601,2.0
59.0,40.771412,-73.990799,2.0
60.0,40.770035,-73.990974,3.0
61.0,40.768841,-73.988152,3.0
62.0,40.767673,-73.985359,3.0
63.0,40.769798,-73.990349,3.0
64.0,40.766594,-73.982719,3.0
65.0,40.765564,-73.980324,3.0
66.0,40.764034,-73.976753,3.0
67.0,40.762772,-73.973747,2.0
68.0,40.760773,-73.975685,3.0
69.0,40.762012,-73.971954,3.0
70.0,40.755508,-73.97953,3.0
71.0,40.762562,-73.972794,3.0
72.0,40.755852,-73.979248,3.0
73.0,40.760674,-73.968773,4.0
74.0,40.760616,-73.973465,4.0
75.0,40.759918,-73.966972,4.0
76.0,40.759605,-73.974197,4.0
77.0,40.761326,-73.970322,4.0
78.0,40.759876,-73.966827,4.0
79.0,40.761497,-73.972816,4.0
80.0,40.756496,-73.976463,4.0
81.0,40.756847,-73.976112,4.0
82.0,40.756508,-73.976463,4.0
83.0,40.759041,-73.964897,2.0
84.0,40.758831,-73.962463,2.0
85.0,40.759518,-73.959892,2.0
86.0,40.757229,-73.963554,2.0
87.0,40.7616,-73.960388,2.0
88.0,40.755371,-73.96492,2.0
89.0,40.762943,-73.959389,2.0
90.0,40.79052,-73.94529,2.0
91.0,40.791866,-73.944305,2.0
92.0,40.793736,-73.94294,2.0
93.0,40.795757,-73.941467,2.0
94.0,40.798203,-73.940392,2.0
95.0,40.798645,-73.941429,2.0
96.0,40.799282,-73.94294,2.0
97.0,40.800247,-73.945229,2.0
98.0,40.800667,-73.946236,2.0
99.0,40.802338,-73.94928,2.0
100.0,40.804173,-73.947945,2.0
101.0,40.806068,-73.946564,2.0
102.0,40.808041,-73.945122,2.0
103.0,40.809383,-73.944138,2.0
104.0,40.810635,-73.943222,2.0
105.0,40.8125,-73.941856,2.0
106.0,40.813931,-73.940834,2.0
107.0,40.81575,-73.939484,2.0
108.0,40.81694,-73.938614,2.0
109.0,40.818794,-73.937263,2.0
110.0,40.820679,-73.935875,2.0
111.0,40.821964,-73.93573,2.0
112.0,40.822865,-73.937859,2.0
113.0,40.821198,-73.936119,2.0
114.0,40.810493,-73.952927,2.0
115.0,40.812809,-73.950844,2.0
116.0,40.813469,-73.950233,2.0
117.0,40.815369,-73.948944,2.0
118.0,40.817181,-73.948097,2.0
119.0,40.818939,-73.947281,2.0
120.0,40.821041,-73.946304,2.0
121.0,40.822296,-73.945724,2.0
122.0,40.823765,-73.94503,2.0
123.0,40.82571,-73.943672,2.0
124.0,40.827446,-73.942848,2.0
125.0,40.828861,-73.942261,2.0
126.0,40.830883,-73.941597,2.0
127.0,40.833347,-73.941803,2.0
128.0,40.831341,-73.942673,0.0
129.0,40.830372,-73.940254,5.0
130.0,40.83548,-73.940254,2.0
131.0,40.836269,-73.940109,5.0
132.0,40.831947,-73.942833,2.0
133.0,40.832497,-73.945427,0.0
134.0,40.827866,-73.930626,0.0
135.0,40.837566,-73.94017,5.0
136.0,40.829762,-73.944389,2.0
137.0,40.839622,-73.940186,5.0
138.0,40.841003,-73.939865,2.0
139.0,40.841183,-73.939781,5.0
140.0,40.843216,-73.938316,2.0
141.0,40.842567,-73.939308,5.0
142.0,40.839813,-73.939743,0.0
143.0,40.844906,-73.937096,2.0
144.0,40.847481,-73.935165,2.0
145.0,40.849014,-73.934082,2.0
146.0,40.850792,-73.932785,2.0
147.0,40.85276,-73.931343,2.0
148.0,40.854496,-73.930038,2.0
149.0,40.856289,-73.928764,2.0
150.0,40.857071,-73.927933,2.0
151.0,40.85833,-73.925385,2.0
152.0,40.80323,-73.932449,2.0
153.0,40.802494,-73.933891,2.0
154.0,40.800591,-73.935287,2.0
155.0,40.798695,-73.936668,2.0
156.0,40.796745,-73.938095,2.0
157.0,40.794853,-73.939499,2.0
158.0,40.792965,-73.940849,2.0
159.0,40.791706,-73.941795,2.0
160.0,40.790352,-73.942764,2.0
161.0,40.788605,-73.944099,2.0
162.0,40.787384,-73.944962,2.0
163.0,40.786282,-73.945709,2.0
164.0,40.783901,-73.947472,2.0
