0,1,2,3,4,5
1,2,3698,6762688,3,3373
1,3,1705,1919830,2,1126
2,4,2686,2344878,2,873
2,5,2662,5350620,2,2010
3,6,2731,2700959,2,989
3,5,2741,3331898,3,2489
4,7,3617,2669197,4,2905
4,8,2750,1432308,3,975
4,9,1924,1098604,2,571
7,10,2702,5291859,6,9725
10,11,1165,2495502,3,4284
11,12,2524,4318399,4,5137
12,13,3181,4701518,2,1478
13,14,802,1439590,2,1795
14,15,959,1703184,2,1776
15,16,2460,1131600,2,460
17,18,8895,17508850,12,21679
17,19,2425,1869494,4,2323
18,20,4882,22724257,7,28802
19,21,2445,1273798,4,1579
20,22,5814,17295938,8,20949
22,23,4046,22290882,6,27666
23,24,5551,30362373,8,38311
24,25,9604,55880602,13,70449
25,26,5614,30670856,8,38507
26,27,7227,38268733,11,51834
27,28,7018,85347957,10,109569
28,29,7767,63075274,11,80762
29,30,4436,26352205,7,34498
30,31,1826,13508224,4,25163
32,33,2091,823854,2,394
33,34,2350,1210250,2,515
34,35,2075,6575675,2,3169
35,36,1550,1381050,2,891
36,37,3105,4759802,3,3060
37,38,2377,2735385,3,3363
38,39,1538,2689202,3,3506
38,40,1538,2689202,3,3506
38,41,3387,21059246,5,25481
39,42,1557,2843607,3,3647
40,43,3121,5749111,5,7339
41,44,1639,10270356,3,12541
42,45,10316,38871268,8,26051
45,46,2351,9179679,4,11687
46,47,1790,6389041,3,7139
47,48,2637,5411124,2,2052
48,49,2745,1328580,2,484
49,50,376,165440,2,440
50,51,2460,1131600,2,460
51,52,1761,3142774,3,3571
51,53,1761,3142774,3,3571
52,54,2150,2403335,4,2799
53,55,3181,4701518,2,1478
54,56,3606,873781,4,1785
55,57,1715,2900222,3,3384
57,58,1974,3913679,4,6037
58,59,1950,3956307,5,7949
59,60,2470,3161572,4,3853
60,61,1924,1098604,2,571
61,62,2686,2344878,2,873
61,63,1924,1098604,2,571
62,64,2662,5350620,2,2010
64,65,2741,3331898,3,2489
65,66,2731,2700959,2,989
66,67,3004,2400196,2,799
66,68,6173,28927184,6,25374
67,69,1542,5215044,2,3382
68,70,6367,31223531,9,39328
68,71,4728,24445121,6,27587
68,72,5557,27415721,8,34627
69,73,3135,1768629,3,1130
69,74,2439,8643031,4,10638
69,75,4654,2262304,4,1455
69,76,3339,11686831,5,14020
69,77,1641,897627,2,547
69,78,4654,2262304,4,1455
73,78,1519,493675,2,325
73,79,3880,11041570,4,12138
74,80,4797,36032847,7,46003
74,81,3953,28365107,6,36918
74,71,2439,8643031,4,10638
76,82,3897,32989047,6,42621
76,79,2480,8743038,4,10593
76,71,3339,11686831,5,14020
77,78,3013,1364677,3,908
78,83,2964,569024,3,432
78,79,5399,11535245,5,12463
83,84,2296,5679748,3,6876
84,85,3188,8361903,4,13957
84,86,2447,16564328,4,20310
84,87,3200,24787030,8,53676
86,88,2339,16274962,4,20896
87,89,1577,12827264,3,16274
21,90,1555,639908,3,823
90,91,1761,738699,3,839
91,92,1628,785042,3,973
92,93,2357,1789762,4,2286
93,94,3289,2269435,3,1283
94,95,1436,25848,2,18
95,96,1596,51072,2,32
96,97,1526,65618,2,43
97,98,1560,538200,2,345
98,99,3946,265624,3,302
99,100,1638,1191633,3,1467
100,101,2343,1369259,4,1751
101,102,2506,1168221,4,1400
102,103,2382,770932,4,967
103,104,1662,424477,3,511
104,105,2347,508642,4,650
105,106,1570,285242,3,363
106,107,2305,196053,4,251
107,108,1801,109433,4,191
108,109,2325,78380,4,101
109,110,2487,37440,4,46
110,111,807,1614,2,2
111,112,2774,0,2,0
112,113,3448,35760,3,48
114,115,3310,3290754,5,3974
115,116,786,750630,2,955
116,117,3172,2761666,3,1790
117,118,1730,1454930,3,1682
118,119,1714,1307782,3,1526
119,120,3089,2407283,5,3118
120,121,1725,56175,3,63
121,122,3440,133112,3,128
122,123,2398,1803150,4,2256
123,124,1586,1090934,3,1382
124,125,1662,1070538,3,1288
125,126,2506,1564736,4,1874
126,127,3402,1719938,5,2138
126,128,1544,20072,2,13
126,129,1102,13224,2,12
127,130,2418,457698,4,568
127,131,3266,840311,6,1635
127,132,2397,517847,4,647
128,133,2718,5436,2,2
129,134,9880,2352042,17,3610
130,131,848,382613,3,1067
131,135,1859,1624139,3,1747
132,136,2541,593328,4,701
135,137,2052,1493754,3,1499
137,138,1853,1041138,4,1331
137,139,1853,1041138,4,1331
138,140,2375,495579,4,631
139,141,1583,914283,3,1147
139,142,1853,1041138,4,1331
140,143,2415,307450,4,382
143,144,3400,409108,5,481
144,145,1605,175416,4,330
145,146,2433,259301,4,321
146,147,2383,228864,4,288
147,148,2542,235298,4,277
148,149,2384,185218,4,234
149,150,775,57576,3,149
150,151,1388,1452,3,2
152,153,712,2848,2,4
153,154,2463,1780766,4,2330
154,155,3201,2453181,5,3063
155,156,2481,2141345,4,2587
156,157,2374,1582821,3,1341
157,158,1647,1168866,3,1421
158,159,1603,1637839,3,2042
159,160,1669,1800851,2,1079
160,161,2465,2883739,4,3512
161,162,1645,1972120,3,2397
162,163,1570,1664376,3,2120
163,164,3308,3829450,4,3550
164,165,769,1098901,2,1429
165,166,2367,4772403,4,6108
166,167,2381,7560129,4,9537
